InputTerm,Symbol,GHIDs,GHtype,NumGenesAway,OtherGeneTargets,Score,Sources,TFBSs,TSSdistance
AHR,AHR,GH07J016913,Enhancer,0,lnc-AHR-1||LOC100131425||AGR3||AGR2||TSPAN13,600.6656,Ensembl||ENCODE,GATAD2A||CTCF||PRDM10||TFE3||NFKBIZ||RCOR2||JUND||FOXA1||RXRB||REST||RAD21||IRF2||CEBPA||SOX13||SP1||SMARCC1||SMARCC2||CEBPB||CTBP1||ZBTB26||ZKSCAN8||ZNF444||FOXA2||JUN||USF1||FOS||SMC3||MLLT1||EP300||ZBTB25||ZBTB17||ZNF217||TEAD1||SIX5||FOSL1||FOXP1||ZSCAN9||FOSL2||SAP130||DPF2||MIER3||BHLHE40||ZGPAT||GATAD1||SMAD4||BCL6||HOMEZ||HNF4A||FOXK2||NFIL3||IKZF5||ATF3||THAP11||TOE1||NFIA||TRIM28||ZNF24||ARID4B||KDM1A||SMARCA4||TEAD3||HMG20A||NR2F6||KDM3A||MIER2||TCF7L2||ZNF558||SOX5||HLF||SMARCE1||ARID3A||ELF3||FOXA3||MLX||ATF7||CEBPG||ZNF652||PPARG||HMG20B||ZNF644||TRIM22||KAT8||RERE,-555
AHR,AHR,GH07J016919,Enhancer,0,ENSG00000223867||lnc-TSPAN13-2||AGR3||AGR2||TSPAN13||ENSG00000283321,0.6656286,Ensembl,CREB1||ATF7||CTCF||ATF3||FOS||ATF2||JUND||HLF||JUN,2541
AHR,AHR,GH07J016918,Enhancer,0,ENSG00000223867||lnc-TSPAN13-2||AGR3||AGR2||TSPAN13||ENSG00000283321,0.6656286,ENCODE,CTCF||REST||RAD21||CREB1||SMC3||ZNF654||ATF3||FOS||ATF2||ATF7||TRIM22,2113
AHR,AHR,GH07J016920,Enhancer,0,ENSG00000223867||lnc-TSPAN13-2||AGR3||AGR2||TSPAN13||ENSG00000283321,0.4424177,Ensembl||ENCODE,FOXA1||SCRT2||SP1||ESR1||CTBP1||KLF4||ZNF217||CUX1||FOSL2||DPF2||NFIB||ZNF687||ZNF24||RAD21||SMARCE1||NCOA3,5665
AHR,AHR,GH07J016906,Enhancer,0,LOC100131425||lnc-AHR-1||AGR3||AGR2,0.4424177,Ensembl,,-9458
AHR,AHR,GH07J016905,Enhancer,0,LOC100131425||lnc-AHR-1||AGR3||AGR2,0.409542,Ensembl||ENCODE,TEAD4||FOXA1||ZIC2||REST||SOX13||SP1||ATF3||NR3C1||ZNF217||TEAD1||SIX5||CUX1||NFIC||FOSL2||GATA3||JUND||NFIB||ZNF18||PRDM6||NFIA||TRIM28||ZNF24||ZBTB33||ZNF652||BCL3||ELF1||ZNF680,-10477
AHR,AHR,GH07J016926,Enhancer,0,ENSG00000223867||lnc-TSPAN13-2||AGR3||AGR2||ENSG00000283321,0.409542,ENCODE,CTCF||FOXA1||RAD21||SMC3||GATA3||PKNOX1,10143
AHR,AHR,GH07J016904,Enhancer,0,LOC100131425||lnc-AHR-1||AGR3||AGR2||TSPAN13,0.409542,Ensembl,,-12158
AHR,AHR,GH07J016934,Enhancer,0,ENSG00000223867||lnc-TSPAN13-2||AGR3||ENSG00000199473||ENSG00000236318||ENSG00000237773||ENSG00000283321,0.3721704,ENCODE,ESRRA||ZNF217||GATA3,19113
AHR,AHR,GH07J016933,Enhancer,0,ENSG00000223867||lnc-TSPAN13-2||ENSG00000199473||ENSG00000236318||ENSG00000237773||ENSG00000283321,0.3721704,ENCODE,SPI1||POLR2A||IKZF1,17629
AHR,AHR,GH07J016900,Enhancer,0,LOC100131425||lnc-AHR-1||AGR3||AGR2,0.3721704,Ensembl,CEBPB,-15921
AHR,AHR,GH07J016940,Enhancer,2,ENSG00000223867||lnc-TSPAN13-2||piR-53063-228||AGR3||ENSG00000237773||ENSG00000283321,11.26466,Ensembl||ENCODE,,24742
AHR,AHR,GH07J016939,Enhancer,2,ENSG00000223867||lnc-TSPAN13-2||piR-53063-228||ENSG00000199473||ENSG00000236318||ENSG00000237773||ENSG00000283321,9.845298,Ensembl,SPI1||FOS||JUND,22442
